x	y	num
5.482	-6.016	0
9.7133	-9.7441	0
7.9822	-8.6401	0
12.0212	-14.2431	0
9.8254	-8.9435	0
4.4297	-5.0368	0
6.1549	-5.7853	0
10.6816	-6.5599	0
6.8864	-7.1368	0
11.7875	-13.4863	0
5.8122	-4.8156	0
9.1163	-7.4091	0
7.3993	-7.4862	0
10.4689	-11.1743	0
6.7922	-5.8031	0
5.6082	-5.4375	0
5.4906	-6.405	0
7.3409	-4.8221	0
7.745	-7.3135	0
6.2082	-6.0829	0
7.7964	-8.6495	0
6.9932	-7.2164	0
6.4641	-8.2786	0
9.4166	-7.5151	0
7.8354	-7.8075	0
8.6163	-7.725	0
5.2591	-4.7126	0
10.8938	-9.6317	0
11.2804	-9.8825	0
13.3016	-15.2896	0
8.8894	-6.906	0
12.8558	-14.126	0
11.7505	-10.0842	0
5.7595	-4.8318	0
8.5666	-11.9788	0
12.3563	-13.9534	0
8.3294	-6.4147	0
9.4871	-10.631	0
6.1714	-5.5546	0
4.7819	-7.3868	0
8.7188	-7.3884	0
4.8547	-5.241	0
10.3447	-8.3281	0
8.01	-10.1236	0
11.5038	-12.3365	0
7.0275	-9.1971	0
8.8446	-4.2056	0
5.5237	-8.7824	0
7.2782	-7.2713	0
5.9804	-5.9431	0
8.7689	-7.6959	0
6.4951	-6.846	0
9.8204	-9.4844	0
4.9128	-5.2915	0
5.8834	-7.2715	0
10.414	-11.0808	0
9.0751	-11.8527	0
7.1421	-6.9153	0
14.1809	-17.6101	0
6.0006	-6.7433	0
4.7883	-5.0174	0
10.8904	-8.7005	0
10.7925	-8.7962	0
5.9554	-6.9734	0
11.6684	-12.7296	0
5.1702	-5.6269	0
6.9929	-7.9024	0
7.8653	-6.3652	0
10.6909	-10.399	0
5.229	-6.0806	0
5.3894	-6.9835	0
5.1164	-6.4566	0
6.0792	-5.9954	0
8.4142	-9.834	0
5.8081	-6.9679	0
10.5923	-11.15	0
10.5295	-10.5944	0
7.0682	-8.8327	0
10.4065	-14.4897	0
12.724	-12.5995	0
5.6582	-5.5965	0
6.9165	-7.8023	0
6.8608	-6.3568	0
6.894	-6.2275	0
6.7664	-8.6731	0
6.9448	-6.2007	0
5.7471	-8.106	0
5.7866	-5.3596	0
10.9548	-12.6394	0
6.5858	-6.6113	0
6.5546	-9.3131	0
7.1573	-7.3451	0
5.1692	-5.7776	0
10.4436	-10.6721	0
8.1335	-6.6215	0
9.8178	-8.3241	0
6.0114	-7.052	0
7.7834	-5.6023	0
8.4909	-8.6834	0
9.1886	-9.3302	0
4.9667	-5.5412	0
9.7398	-9.8067	0
12.3306	-12.1444	0
6.6317	-6.6723	0
9.0762	-8.9683	0
11.4026	-13.2007	0
6.9498	-7.2511	0
6.2663	-6.2651	0
5.3518	-5.8382	0
5.0688	-5.7466	0
9.5356	-9.1301	0
9.9311	-8.6657	0
12.4219	-14.2704	0
7.8774	-7.6316	0
9.2764	-11.5494	0
8.3451	-5.8372	0
4.8485	-4.7156	0
10.219	-8.8359	0
5.2359	-4.9542	0
7.3518	-7.4757	0
5.2187	-6.1038	0
7.1392	-9.0566	0
8.426	-10.3196	0
8.9811	-8.5649	0
12.1646	-8.8505	0
7.6027	-6.5973	0
5.2556	-7.1544	0
5.0943	-5.0034	0
8.153	-6.6311	0
4.8715	-5.488	0
5.3611	-7.6972	0
6.4382	-8.7184	0
5.452	-4.7207	0
6.6594	-5.4506	0
11.1886	-11.655	0
8.0588	-12.6798	0
9.5067	-8.6972	0
8.7034	-6.926	0
5.7006	-7.8005	0
5.345	-6.6902	0
13.3215	-13.88	0
6.9517	-6.1545	0
11.6328	-15.139	0
7.4307	-6.1469	0
5.8778	-7.2701	0
11.1692	-8.193	0
11.7053	-9.1485	0
8.0355	-7.4863	0
12.176	-11.0665	0
11.2871	-12.4424	0
9.1122	-8.6619	0
7.4953	-7.5516	0
5.4495	-5.3261	0
9.8922	-7.5911	0
8.9038	-7.4918	0
11.5042	-9.1037	0
6.4452	-8.4097	0
8.1766	-6.3509	0
5.0454	-4.3696	0
9.8245	-10.0247	0
5.8821	-6.1536	0
11.4673	-11.2581	0
8.8512	-7.6998	0
7.084	-7.9968	0
7.7274	-6.3868	0
7.283	-6.181	0
6.8243	-7.9269	0
5.5369	-4.7311	0
6.3249	-7.5667	0
9.4088	-8.7443	0
10.1464	-10.1642	0
