,gamma
5684,18.35941165251753
2826,18.34805722478008
1310,18.336765678441626
1958,18.328338522580516
1173,18.320470548882508
2807,18.31682421762408
1231,18.307885054725183
1910,18.299524419606986
5483,18.297457503019096
4811,18.286751457030892
415,18.265878510104823
4075,18.261640749911436
5620,18.255578168335045
1040,18.195284560021875
4757,18.192412351538344
4183,18.190091105154377
1723,18.16299250701055
5924,18.159817165817117
3749,18.145455444597392
1790,18.13946466817564
1467,18.136935171491025
4012,18.114151658263484
18,18.088774801890125
2144,18.057812581280306
1764,18.05675728487432
4349,18.046125480848847
4982,18.045303756973595
1135,18.04192369565711
2871,18.03923012721201
4977,18.03129171760165
1441,18.021750369454068
4273,18.013981379842992
1544,17.989709304321483
1785,17.9817238125589
4188,17.948216263104626
3661,17.93276172395337
2186,17.900140916700025
1029,17.89046682254521
5927,17.88917572291415
5767,17.885923957748062
1253,17.882019336720635
3492,17.873024290936957
5052,17.867374635608645
1234,17.838266378752557
4608,17.832511444918577
5991,17.82995832143975
4940,17.823777265867612
916,17.81847027701557
5544,17.803256032677993
1923,17.80284700466129
2735,17.801948917683255
1686,17.795584070799215
1872,17.795360209381673
1515,17.79488009661104
3678,17.78643436183196
1116,17.783596003852164
3556,17.73986668696652
2134,17.739380909624746
4087,17.733147621189794
4085,17.725517005656602
5554,17.724541965581356
5160,17.69967375673428
2902,17.694711833936434
4810,17.68783599125143
3448,17.683226176035138
5117,17.6643618878177
4118,17.623649517354607
1833,17.623247623912704
3039,17.58807597065128
5490,17.577900370881327
3675,17.571023037752834
2656,17.566671356150252
2985,17.55594217690469
5629,17.545686504894192
5150,17.530450586033673
5787,17.52085272107672
3886,17.517651326607233
1011,17.515932444707925
4937,17.51369689009367
2638,17.509980124229532
2210,17.49977042366422
5816,17.494842241031535
5172,17.48207912802098
5286,17.478648221483322
5499,17.474546708383556
1254,17.45938561303977
5098,17.45811282698124
5592,17.45372123093655
5572,17.432244442761046
4433,17.42619774820494
4300,17.38331062015492
2643,17.368203866699407
4663,17.36130702758688
4929,17.35146178684551
3465,17.342747740096954
2209,17.337208354307272
3622,17.32777807901407
1799,17.326081868763854
2299,17.317619000045585
5745,17.312019431428045
726,17.30490223870787
4931,17.275020299047032
5857,17.274953527751588
3277,17.255942122747946
1963,17.25096066930947
2433,17.24616374414199
5782,17.242868497463263
4642,17.241053196244287
3582,17.227424141201368
1125,17.227184237693045
4424,17.220178555693877
4123,17.220020677960452
4845,17.194719046927304
4318,17.168695042431747
1062,17.154243009812696
4058,17.15287997930679
4035,17.15161620914666
4644,17.150276504637795
5505,17.143694052749936
3602,17.128320301474353
4882,17.12052447557306
4057,17.11771642731477
1530,17.104399535273938
1238,17.103309156628125
325,17.08697902412059
2962,17.038908311540254
1678,17.036417151690205
5818,17.035513574377536
2525,17.034562188991277
2930,17.0276572788037
5442,17.013477961538598
5061,17.010945456496387
3302,17.006293911625455
5561,17.000937249294694
1364,17.000288150970015
5719,16.971821969094147
1607,16.96916387503834
4597,16.96398051058217
3975,16.945870491019445
4799,16.941176194682203
2634,16.937168057941935
4743,16.91512348714863
3208,16.887622148106196
5003,16.868816503204673
1184,16.856218952193338
4390,16.84845807946772
2658,16.838261522782876
5236,16.83091616337579
2169,16.82757757457406
1345,16.82557984175462
1037,16.816710431570534
3229,16.814404954834977
5657,16.813804698721146
5899,16.809996712995172
2345,16.804618798792433
5140,16.785670744492865
4099,16.76815831258226
3980,16.765330555704217
1114,16.757658661044967
4575,16.754848876085994
4664,16.752969562009245
5631,16.752877953709653
5564,16.748115151180254
4111,16.73050937978443
4528,16.72321458966653
2869,16.701373682567766
5313,16.693351453711923
4777,16.69125849910982
3475,16.674557563497228
5558,16.662949531287154
5114,16.659323931425995
4215,16.656927923494226
5740,16.64662339374091
3166,16.6461870834174
1495,16.639309385366946
5432,16.618267325718175
2097,16.61388369496942
1340,16.61301078102409
2571,16.588947113853145
5793,16.58334033829547
2601,16.577832961015748
4023,16.55958026308079
4737,16.55839319054008
2148,16.557070772995807
4066,16.553043934665013
2390,16.52324632414783
4334,16.520666346177126
1629,16.519266811882037
1386,16.51898253973379
3653,16.502949363570757
4495,16.49172301587764
5078,16.49149076486892
3018,16.47599590869736
5974,16.47589493884853
5517,16.463749279489953
1615,16.46296227125277
1390,16.455803512572224
4383,16.453441290240775
3677,16.44833310001359
3893,16.428010680135866
4159,16.419925762292745
5218,16.413444785808156
3827,16.402294844775522
2425,16.399736201389565
721,16.372526729757745
4674,16.364948317818648
1006,16.362731469479982
5940,16.355750996486588
5464,16.330243394895888
4407,16.306780977695404
2376,16.30669187331014
4393,16.267574020977236
2577,16.264957484538247
5215,16.264841204346826
3491,16.252471174473676
1943,16.247902806541827
3398,16.236480636303266
3038,16.231758272557595
4092,16.228240171721716
2628,16.221083389900926
1604,16.205399899589708
5563,16.202144801559474
4788,16.197276381033152
4600,16.194288110450206
4501,16.18546658901458
3604,16.18458461600132
5704,16.17350628836199
5156,16.169734446166252
4972,16.166806127116725
4233,16.158509092535233
1709,16.153897694704103
1483,16.15365500165514
3089,16.130309664919835
1348,16.12011565509221
4214,16.11373153449858
4121,16.09039358344345
5083,16.076925062678605
2875,16.073422347915812
3304,16.07216362358562
5739,16.071199116437665
2496,16.067706461994103
2170,16.062870759260964
1141,16.04849332978369
5377,16.025834868509882
2037,16.024141821074007
3938,16.018047904718532
5547,16.017878541719828
1143,16.009909566031933
5881,15.995986532890214
5214,15.978909925429152
3665,15.974578028448668
4483,15.970133431505657
1959,15.963523263490512
1632,15.961915002458204
5669,15.96153904337239
5869,15.957386156501457
5323,15.931952995010235
5457,15.929927943530126
4894,15.929180211317727
4761,15.922391950146142
937,15.917385497110406
1480,15.9150236012994
5247,15.910757412663406
3829,15.898587164100771
5601,15.891175335328235
4643,15.876063211180593
1768,15.87246555511472
3028,15.872369738809567
3732,15.84997007890604
4285,15.845014275843969
2889,15.83099884055409
1620,15.824401646675616
1656,15.82255951981253
3611,15.82052356953603
4766,15.819612800495513
2867,15.816584840036816
1811,15.810593853580494
2983,15.809775968610454
3307,15.800480194085127
3472,15.796872027102449
5832,15.795602164277097
1911,15.789942494659533
1156,15.786059054698669
1363,15.785714962168042
5702,15.784716393446864
1169,15.778880656816703
3365,15.77446739742558
5227,15.773552995126025
3924,15.75502786259469
5025,15.75208574147363
3628,15.747023746841515
2810,15.744662326389342
1268,15.743732852289776
5885,15.743654777913335
5419,15.741599034572499
3495,15.667923450146063
1461,15.650447937738187
1635,15.647310956167761
1636,15.639796509351864
4017,15.63646008205589
4335,15.592212409626134
3558,15.591876315168387
5963,15.58945692897549
4425,15.580770436470328
1644,15.573403405019228
3793,15.568075539537487
1161,15.560871078272697
3283,15.55249046293412
2155,15.546049892584769
1194,15.543092383612523
4304,15.541920024441126
4926,15.5414193104764
1427,15.534258877941745
4163,15.52925953319743
3162,15.525145432443905
5645,15.517011493261851
2203,15.492785369241284
3780,15.485153441368778
1565,15.482813803044252
616,15.482457487601538
4717,15.475907383805467
5874,15.475539759521698
626,15.472625048837575
4525,15.471963416209793
1071,15.466367914974917
2759,15.46576032979776
2609,15.46177287949082
2536,15.461266352567266
1564,15.458051226243013
1820,15.416059363159082
1403,15.415854879872231
5473,15.414327417513103
5331,15.404001846944281
2915,15.402272144389075
81,15.377104450200088
2708,15.370541664049547
5598,15.347426311485389
2999,15.338874814310545
2114,15.316311251096257
3209,15.306916885328542
263,15.306048663266624
1192,15.301844485056142
176,15.297225267911655
1256,15.292851492831964
2578,15.282782552847006
5956,15.281543064401355
3891,15.25942189883456
4569,15.25895310708363
5502,15.243384041097862
3722,15.228827280912343
1769,15.227287791834256
5297,15.212406551483609
2649,15.211676540869139
1674,15.205827518763313
4932,15.201579541514558
4081,15.193258038680792
1430,15.188725653021775
1881,15.187173644904698
249,15.186365671140651
2447,15.176850964547576
4832,15.176708589653238
5922,15.15961817105942
3159,15.154060032610955
765,15.150985072135885
4697,15.150262231474429
5843,15.149071915045585
5754,15.133561690007015
2125,15.129676944858316
1283,15.127445350765264
4744,15.125916045109655
2897,15.11900033253074
5393,15.117221130986886
4082,15.117001225757399
5424,15.115972080695794
3450,15.10656198540064
4117,15.096970774394544
3408,15.09622719870609
5310,15.085831074840938
2765,15.085430337851905
1278,15.08541902484829
5909,15.068858763954829
1136,15.06699450865123
5921,15.052620986097155
2879,15.051428622969587
2540,15.047046996597466
3349,15.04381909718741
5304,15.038562609935077
1942,15.033597107855536
2338,15.033496511838178
3434,15.028445612154789
846,15.019937350655374
2905,15.013058419511616
2966,14.998848327742637
3143,14.998779476309318
5781,14.998776648056932
1352,14.987443060904178
5342,14.98608369274956
3030,14.975434609115375
2996,14.972619053546495
3238,14.971788904893463
1739,14.932261418971478
1937,14.930298368625625
4151,14.923752492227788
4010,14.917539845020382
2232,14.90013335232084
2670,14.891930181330588
3342,14.886022585979575
3383,14.885280096896327
4232,14.883929583893337
3544,14.882148027484243
3962,14.880193095645808
5212,14.860002019665773
5700,14.856895649209706
5064,14.854282545373053
5679,14.834704491370918
2318,14.826710369534311
3378,14.817681739644302
5965,14.816185428966152
4603,14.811401458704161
5400,14.809400203458265
5407,14.809134915743096
4499,14.807098598039056
5075,14.806681631090521
3390,14.806436822384526
5335,14.803591546032719
5005,14.801553100953653
2112,14.79747696770461
5391,14.79093536976786
2251,14.778861913575572
3354,14.777354143831484
5871,14.77163521516799
374,14.760779131892237
803,14.75895623292872
5392,14.75874447534779
2123,14.755382287662874
2309,14.751147530628296
4934,14.744692119492292
1860,14.743237000609893
5110,14.740847167408717
4029,14.739863818223085
1772,14.737583884141566
4807,14.736317949548043
2630,14.735441698549502
2276,14.728912792966161
5279,14.725062943423127
928,14.721675592504207
4667,14.716162919850193
2684,14.715553380344732
4196,14.713410065467418
5914,14.711384510739435
4382,14.70712298527413
2518,14.696210053711656
2188,14.688809986327806
3490,14.688422939647067
2579,14.6763470579782
4734,14.6725993511194
5903,14.670219594795133
4153,14.668391640041236
3155,14.66143664563422
3848,14.659239932590427
5568,14.657931412424592
3136,14.644487956689272
4908,14.643370808350491
3623,14.63421987097596
1717,14.626251192191512
3035,14.612070561707363
3257,14.609468497665365
730,14.607583352167845
3783,14.606263077947883
2645,14.602586666306445
3131,14.60094690869599
3449,14.586669682658831
4358,14.563438765235848
4665,14.562485451021274
1380,14.56200984531496
5463,14.55560740321368
1968,14.54602845901668
2274,14.536729357131303
5332,14.535891885979995
2854,14.5307121498616
5644,14.521775762912696
3816,14.509560025451695
1901,14.507504815318637
2350,14.50227344248408
2386,14.49910422862363
2295,14.496090520968515
4541,14.49208162936014
2987,14.487049111778013
5216,14.48376782837285
5975,14.481548489835209
1458,14.476802116288336
1451,14.47328701623078
5979,14.47147420259269
2963,14.471303001354219
4718,14.470746486828444
4095,14.469420844922118
1554,14.46752969991914
5732,14.467377331278977
5519,14.466870338843057
1015,14.462089799949496
1754,14.454312732432268
3078,14.450465170863934
3535,14.447483882736073
5409,14.4436142024643
1123,14.438469331642045
2202,14.430002518677309
1814,14.411931018564742
3053,14.411271800687581
5105,14.403213520475191
1263,14.402455611425314
2995,14.397502367001263
3992,14.395719910373236
4028,14.385632989305925
4192,14.38546464914328
5701,14.383758227674297
1338,14.381890594979163
5276,14.357653307377753
5350,14.351369369396119
4189,14.347290555780914
3738,14.341165010855123
3764,14.33303822625713
4061,14.327886268310431
794,14.327368924193191
3969,14.326474594213469
597,14.325602580923121
700,14.323398916149332
178,14.319351324876717
1843,14.317738913441936
1311,14.31634047317756
5685,14.315140797249477
670,14.310949289577767
4869,14.310788605391526
1188,14.310374982814867
5904,14.302915277101025
5972,14.296232818562927
2081,14.295294245255525
5738,14.292479346327308
1952,14.284547017711688
5022,14.269524890707435
3435,14.269442281780545
1104,14.268676488054307
2870,14.261569224828815
1024,14.26064641135353
3453,14.258073410793662
3927,14.257841683974918
1111,14.251229679616767
5476,14.246507617875126
1291,14.217295985344602
2972,14.210653813441377
2911,14.203325925774154
364,14.193254928770745
4729,14.192862662194427
1270,14.177203313674442
2662,14.174797090635817
59,14.167769445609897
4545,14.16022038379646
2282,14.152607289761718
3366,14.144290894420342
3241,14.143790154775443
1810,14.137741153003443
1133,14.132393615777836
3021,14.128814792712431
2061,14.115604514720342
4527,14.10515493589406
1921,14.103511228685885
389,14.103366429729478
1654,14.091484759569038
91,14.090350474395535
4187,14.0893003039993
1488,14.084421674075719
5883,14.083207576091164
4897,14.080860987568972
4254,14.07931960849403
5359,14.069418232358405
2636,14.06861029453622
2555,14.066464271160049
5043,14.055605216761851
795,14.045376701550664
5968,14.04515219986618
5809,14.044662983308232
2928,14.041539911022994
4984,14.029336304872285
5115,14.017727710354418
4320,14.017256321353484
4315,14.016591571335361
5555,14.014262718410915
3576,14.013998687513023
2361,14.0129473894756
5731,13.999050968092146
5893,13.983720530677836
2436,13.98282149836454
4689,13.979661260960611
4377,13.97687346789413
4458,13.97450374648377
1601,13.971577236730877
2661,13.965520100178628
1519,13.962306155951614
2259,13.960773535618731
5687,13.94014871052632
3601,13.93760700244255
108,13.934658948743722
1096,13.931931297656156
113,13.93074456083127
3132,13.927875207130095
5070,13.92360780516447
4909,13.92177454552206
5306,13.921456688948473
5026,13.918282754617234
2811,13.918134380371095
1506,13.915189893427446
3771,13.897495896733878
2537,13.881239670266924
5729,13.880740741511943
5099,13.877849566664702
252,13.875099504029961
5854,13.87334831829786
1552,13.86742698598504
406,13.866472761283605
89,13.865048995165393
612,13.855802420556712
5714,13.855653527274754
4281,13.8518118539985
5612,13.851020604473364
1984,13.83840169359565
1992,13.835441035150872
4367,13.830278555429377
4260,13.827403353049359
4038,13.825254713491688
3619,13.822707876747645
2015,13.815151224604579
335,13.813318271711562
2934,13.813093537013952
4669,13.805044362458545
1048,13.804932250406386
5322,13.79987783122427
2370,13.795735750848028
3693,13.79377738690152
3346,13.791367286246427
5683,13.789828862390793
4354,13.788289258646351
1168,13.782695258680029
5397,13.777508507321171
2104,13.777402009792139
2568,13.76758009469293
2105,13.767500385088296
5179,13.754010082734135
4975,13.752382766160482
5183,13.73683903302719
5718,13.730387204213002
2692,13.723669531743594
2012,13.718956424692163
1134,13.718694487880414
2440,13.712737575461858
5485,13.708016380819313
338,13.705523644648807
5556,13.705040192389815
1793,13.689769217744887
3137,13.679883044924914
5873,13.676201885880904
799,13.675553511639155
1960,13.673897688382842
4544,13.667622509860328
2753,13.667197734538814
2551,13.655949131084958
5438,13.648927259046976
5374,13.646931340634614
1744,13.644356276741663
3907,13.640450177759405
1657,13.63990177403121
2901,13.639382391206436
1813,13.638252657148573
171,13.624858301277051
3290,13.62197531481325
4848,13.610177315511296
4479,13.606999754840107
2712,13.605929886391435
609,13.589594080770476
2863,13.588834534689099
2589,13.587956710039691
2831,13.58583117601562
199,13.583409481495739
5253,13.581323728095967
3687,13.580810152908342
3575,13.574755377540061
3113,13.567884511664888
2404,13.563020646050692
3406,13.561443166488088
1056,13.558072646830087
2678,13.556482201321032
1267,13.554501065506775
1642,13.533930096027458
3421,13.524954758890415
4124,13.516554130668242
1585,13.515913022434503
4237,13.50696327724901
5768,13.505721496507062
5139,13.476260310854965
3123,13.470367773682053
1413,13.469504030367485
2177,13.463416523448927
3182,13.459724433359211
2914,13.459362316609313
5990,13.45403356559634
3044,13.45289756131864
5133,13.45270547307326
1355,13.452428256357136
5763,13.452404610543121
1838,13.44304822608942
4786,13.440713008414136
2982,13.434337415366603
232,13.433694072525336
1936,13.432140421798234
701,13.425027735506843
4792,13.419478065384116
976,13.412331803311726
3529,13.401866937609714
3115,13.400982061957574
2696,13.399806593304222
4519,13.396160698423218
2138,13.393271553836192
2517,13.39149782207543
4179,13.388200209905245
1830,13.38202391681203
843,13.374306944024553
2451,13.3693382708192
5600,13.367486732622883
5875,13.363514399416495
1919,13.36273473573716
5230,13.359648531677777
2796,13.356692328182096
3007,13.343392884362347
3982,13.334523292324556
4226,13.330490822516985
4090,13.319715766653646
3563,13.316994860449677
1032,13.310312106510699
3546,13.305462584000752
3645,13.304759263768727
1649,13.29644258344946
3045,13.29365361517803
661,13.283561562714336
5178,13.281834492777115
4125,13.267146922984892
3411,13.256601798249404
4186,13.25294595744683
2143,13.244732240923623
2219,13.242187249768778
4700,13.230107834837696
3596,13.229918752767952
4310,13.22298766597478
4895,13.222591811359607
1431,13.212480540927567
119,13.208609230637
5268,13.201014148391076
1367,13.199454418925649
996,13.193430332751063
5361,13.187472367865649
1172,13.178072953007533
5358,13.17184173492705
1666,13.169679953338273
2866,13.163183765147052
3032,13.14982530613312
1795,13.143298632630975
4703,13.13288534095327
3759,13.132321800596754
1716,13.12735433788669
3190,13.110283605420262
2505,13.10549245360035
1228,13.100407643196322
1381,13.095368197429426
453,13.091078491141635
4652,13.069683843062785
6072,13.064205273923674
4745,13.05779601963582
1202,13.050674190050872
3733,13.037535893228654
2971,13.031727961328217
1225,13.031361619594852
3841,13.030177617610036
2076,13.024086351234244
1021,13.011873090264926
1205,13.005619465367628
1753,13.004756106834988
1257,12.999357203671824
4106,12.996268956854697
5807,12.994909114819228
1862,12.979260985341368
4862,12.976340115444282
3447,12.972858727064255
2926,12.960352856356009
2498,12.953576813331283
4773,12.949595771703445
2764,12.949168413116418
1498,12.94609463574042
5735,12.943511017715917
1285,12.942952614724808
258,12.93795348992743
4440,12.937240974556012
1594,12.934210472031713
1996,12.927612833627089
2514,12.923485952923748
4680,12.921976588242128
5136,12.919559043759216
5454,12.917505161406138
183,12.916994604020134
4405,12.909502894075302
883,12.906673007802326
4917,12.899794206305314
3830,12.893018151007034
1755,12.88850260971905
2103,12.885025045909444
5504,12.880317302981576
3772,12.879278354797407
4613,12.866091784284656
1373,12.864965789775452
