,0
0,93.22913855930322
1,33.69427311848829
2,45.418936398814694
3,11.224036226822635
4,35.14215184526446
5,47.25949901382024
6,86.02135809817906
7,5.215409212816502
8,73.93633970015789
9,11.682541564539587
10,48.47936842139989
11,47.221094710793565
12,63.038318928614665
13,23.110370246898146
14,67.05645573368815
15,87.75990547597534
16,83.2692317881315
17,12.003758994725569
18,59.49579579611338
19,93.14868613858381
20,45.985841020835956
21,71.39133964466261
22,47.53829046152378
23,38.82796556257631
24,57.01064606879727
25,55.53400628538202
26,60.75260741088337
27,25.03569364352182
28,20.397338064590137
29,6.567472765935016
30,41.92967180141142
31,13.159995726368443
32,13.51873897519325
33,51.59598163216367
34,6.9048764135507374
35,15.026903487257615
36,36.906981381975704
37,21.526903939904255
38,74.8106577647659
39,20.2427734713422
40,54.93583347031816
41,76.57499843641914
42,26.438149347386503
43,20.343216577506766
44,17.860404615999947
45,36.09348238797248
46,1.3147533508356322
47,11.79833991761105
48,66.53859725072324
49,94.34758760405921
50,54.19323819722195
51,83.23137283824319
52,34.71957735040124
53,79.67989401580999
54,66.09996438757324
55,23.33744153862475
56,9.253455035662853
57,72.97849473029551
58,2.8811657406397204
59,84.43755900676287
60,69.59482875919718
61,19.49361219330874
62,21.59100809988815
63,76.47764047451429
64,16.14591407450344
65,88.78098605833735
66,60.91480011332227
67,49.29816439100633
68,27.13240632502886
69,81.90139481666439
70,58.85387296145391
71,61.54926368494774
72,93.77019003354951
73,26.859958634203377
74,73.89495860616793
75,23.403974358313413
76,26.427646652601553
77,44.66168452627899
78,1.6916722700685916
79,11.866477252302143
80,91.57561015818666
81,62.45426774264079
82,82.63518201965942
83,79.7019663354697
84,43.96759282088715
85,77.52653635731187
86,36.862222926830974
87,79.08682457491908
88,15.694874057003894
89,87.41765416844929
90,23.618742212398182
91,67.5638842992591
92,86.63060639457328
93,25.87466827378428
94,46.77943812063415
95,33.6177591118078
96,74.79985842496792
97,27.180569449290424
98,44.604443442820454
99,37.11330039117209
100,80.83395498778373
101,33.22484822656282
102,17.025555748847044
103,85.86999543904042
104,41.00695321579741
105,12.485074353769571
106,71.29327794055995
107,93.82524488825875
108,92.25439370693638
109,82.38257108556338
110,37.57883015069883
111,33.63169986178917
112,14.387199731089837
113,58.01960744739631
114,12.007928877169782
115,20.392667110848798
116,59.0009495483272
117,30.351040246535195
118,75.60260568639241
119,63.724102456997095
120,80.62213387886486
121,40.534937842924535
122,20.10490060984729
123,44.3114984259836
124,5.118328629802499
125,60.97221806421194
126,47.5481179154231
127,78.147685859155
128,46.53563117393572
129,76.22060010655905
130,37.712926366092056
131,35.34599371643308
132,56.37909349297373
133,52.017270029470396
134,20.264488826291313
135,3.0156926919930904
136,38.83366839307993
137,45.571796566531994
138,45.901126196957016
139,66.32510160931974
140,7.160640026283143
141,76.10767528172204
142,2.8204003113273326
143,59.37365724829891
144,66.03566746491708
145,11.927772947026742
146,9.569901951043999
147,57.94329025494871
148,16.408297289059547
149,17.31064867387813
150,42.85197394093088
151,61.44321699891842
152,87.43286414364333
153,25.61331185712689
154,52.577638419136576
155,11.823766271709292
156,43.69197175372712
157,39.307418488167556
158,39.00575718655311
159,31.341591622919832
160,96.29375526741784
161,20.69443071087373
162,52.9673988098618
163,59.41705419833802
164,54.33474648125343
165,65.61454839261225
166,59.93386521805263
167,54.16477738290063
168,63.470316831640005
169,39.88058194120928
170,30.335034087608562
171,89.76144068268503
172,77.67819377287961
173,5.49904791893796
174,94.04161067896412
175,77.51457550467941
176,56.25317859634954
177,56.02175012730582
178,71.86317113846745
179,26.735935713711353
180,69.61671176639393
181,54.325376492802924
182,48.07893207982462
183,50.994365597992235
184,42.708353238718004
185,67.07750749098749
186,65.48350365361134
187,29.28891598636486
188,16.217175174285433
189,20.020345544848617
190,56.339321062124185
191,93.98457223779897
192,55.26514011724999
193,23.507507460118532
194,31.980739601241982
195,81.26222339598851
196,33.331227392891726
197,4.129570333867057
198,11.155014982296708
199,46.3898187745256
200,36.28978768476918
201,58.48478202597205
202,61.968929275696354
203,39.666115386513184
204,22.085685303351074
205,45.081224121830545
206,36.387135102067056
207,18.359574127025407
208,33.89141714560265
209,85.91391496713419
210,59.76627459518421
211,77.73643136765521
212,92.08022638368938
213,94.56979059805727
214,41.67654657457512
215,44.25478711853459
216,59.655434077441875
217,35.88921939886556
218,29.936564947423097
219,72.50654660995941
220,36.93986014050878
221,74.36177118714176
222,20.491487786833833
223,34.28553456210777
224,25.708914872185453
225,12.60493059803103
226,49.38626877487362
227,31.42630101515924
228,50.25247271684148
229,57.69719064043214
230,72.45319940164107
231,6.921663558373261
232,83.74717372870911
233,79.71662696148968
234,82.48620880907556
235,23.307059052023863
236,59.984765323857886
237,18.37314805553546
238,15.161096880047912
239,7.931304720090791
240,15.041562738357563
241,32.87962750336774
242,93.06405336457684
243,50.981599202998176
244,51.43367977645934
245,51.58284831838411
246,51.84231650700877
247,55.83270847671608
248,95.59842548750045
249,89.99031150590795
250,40.04831748156752
251,33.99088788653875
252,54.59370114640022
253,19.56039995309913
254,30.864936861950017
255,5.706310630192934
256,49.785769345496846
257,18.28100275778699
258,38.55917132114911
259,21.798811957308963
260,55.216544674853196
261,26.91326657231264
262,41.44229394147709
263,76.13185042826622
264,17.34564027661018
265,82.96186141162508
266,93.32696660356449
267,72.90501778280918
268,37.834522528087014
269,18.001426748651284
270,86.6872880273964
271,30.025063498068228
272,80.51963423310032
273,34.94375386931313
274,38.883468442767764
275,26.57201184054079
276,30.10045602241004
277,17.99566619273269
278,32.811450361598624
279,21.046851636629285
280,75.76901640043471
281,12.878327120860128
282,7.374890825476531
283,27.807055751735106
284,67.09445754745191
285,40.661659457941795
286,34.34589153375852
287,54.95608364187672
288,36.57055279795387
289,39.399768875495916
290,71.9521468328739
291,30.297384895172932
292,16.197247575641065
293,74.52695006498992
294,41.951375334054546
295,18.705769764866954
296,85.83421355922347
297,61.40026232947429
298,64.55273422552439
299,60.15193846243599
300,88.34846253529491
301,17.7639180014679
302,56.714110478673234
303,44.0177088318224
304,57.51250477386968
305,26.114395497179736
306,70.90232271958902
307,27.909054917107643
308,17.10401500812129
309,25.713940382120114
310,14.262178903894075
311,9.234361494339966
312,26.35752417443566
313,62.50235695610408
314,13.940931869141169
315,34.25429558902335
316,17.586069375295178
317,27.462213043887935
318,54.37429704438478
319,28.753533559390846
320,75.67170483194766
321,60.306296651878945
